,text
357,@RolfDjernaes @samfbiddle @lesternare @blam @nitashatiku ah yes. Right out of the ole VC playbook. Wow.
358,@Jason doh!!!
359,"@codeio in case you care, here's the actual story: http://t.co/1QSq9lsj3k"
360,@jimkimbel @pmarca I think he may have the largest music CD collection in the world and now the largest music hard drive.
361,@pauljudge @Jason I just have so much pent up hostility on this one. I will try to behave now.
362,@samfbiddle @nitashatiku @blam Hip hop to market a VC?!? Here is the actual connection: http://t.co/1QSq9lsj3k.
363,"@michelteivel @richarddjordan Yes, but I thought they crossed the like by attacking @4thlettermusic"
364,"@chuq @jeremyalmand @pmarca muskrat suzie, muskrat sam?"
365,"@MichaelBrehany @pmarca he's a Shakespearean actor, so he adds a bit of drama. His name is Kevin Kennerly."
366,@MichaelBrehany Ha! He's black!
367,@kalebaskew Thank you!
368,@DanielPearson Thanks! I annotated chapter 1 with photos and stuff on @genius http://t.co/t1hddcNMhX
369,Nice profile of @Zenefits in NY Times. Amazing company http://t.co/6FzWRysee9
370,@AllenNance @peterthiel 's zero to one
371,@dianebrady Thanks Diane!
372,I just decoded “You may still fail. The outcome is something like idea x product x execution x team x luc...” @Genius http://t.co/iBVx8pswcu
373,@ChiefHexMaster you need to ask him @mdcranney
374,@jamessfoster I think that the big thing was that both big companies executed well. That almost never happens.
375,@FilmHearts I have seen it twice and we screened it in Redwood City http://t.co/76GZorlNcP
376,I want to work at @Lytro too! http://t.co/EGUkGh2AL1
377,Ha! No doubt! http://t.co/rGMpoFEJrK @wennmachers is the key to the whole thing.
378,Product picks from @Nas on Product Hunt http://t.co/o8fzdXBMkR
379,"@CandeeJamie Thanks! If you are interested in the back story, I annotated chapter 1 on @Genius http://t.co/P7XIuvo6wB"
380,@MichaelHawaii Greatest battle rap song of all time for me.
381,"I just decoded “We’re trying to maximize results, not minimize headaches” from “The Genius ISMs” @Genius http://t.co/OSQDD9U7bH"
382,@jimwayneph @newsgenius http://t.co/IHMD6q3BFP
383,Great gift from @pmarca and @LAAF http://t.co/TnEbtcOJ7B!! A big step forward for diversity in tech!
384,Thought Spark was fast because it was in memory? Turns out it's also boss level software: https://t.co/UZJhojZKNb @databricks
385,Nice @Pinterest story: http://t.co/jcYUX5VCfD
386,@anbvb09 danke
387,@MarcNoton1 @twitter 1. @balajis 2. @BenedictEvans 3. @paulg
388,Awesome quote from @cdixon http://t.co/2Umyw99Ipr
389,"“In fact, it has systematically kept prices low, to reinforce its dominance.” @Genius http://t.co/fJ9dPkHKQ4"
390,This is awesome. @pmarca goes in on @PaulKrugmanBlog on @genius. http://t.co/zsbRrcbn8y
391,"For example, “Yes, I have Amazon Prime and use it a lot.” @Genius http://t.co/Q7TmiJnubT"
392,@sarbjeetjohal @Genius So does that make you long MSFT?
393,I am very excited to see @illumio come out of stealth https://t.co/hYohEqq0Yb.
394,Great piece on Amazon and antitrust by @mattyglesias http://t.co/VNzoEQxsJv
395,Great post by @stevesi http://t.co/tGpW24Insc
396,Here you go @theKen_Miller ♫ Tragic Break Up Songs Ben Horowitz http://t.co/EYjhoUmd72 #NowPlaying
397,@naywilliams @theKen_Miller nice adds!
398,"@theKen_Miller Ha! That's pretty good, but not the right vibe for my tragic breakup playlist. I probably need another revenge-oriented one."
399,"@deepakshenoy @balajis the blockchain is validated by miners who work for incentives. In your alternate universe, what's the incentive?"
400,"@andrewbusey @balajis  the blockchain is validated by miners who work for incentives. In your alternate universe, what's the incentive?"
401,@deepakshenoy @balajis a) you did not answer the question and b) the protocol enables incentives to adjust over time #transactionfees
402,@M_Gauche @deepakshenoy @balajis http doesn't validate transactions. That's why we need Bitcoin.
403,@sama @DanielleMorrill because stock compensation is already accounted for in the share count. Cashflow per share is all that matters.
404,@imjamesjlopez @theKen_Miller yes sir!
405,"@deepakshenoy @smc90 @balajis i am just asking, for any use, who validates the transaction and why?"
406,@deepakshenoy @M_Gauche @balajis @Naked_Bits my question is really: what blockchain technology doesn't use mining and works?
407,"@deepakshenoy @smc90 @balajis OK, but that seems much more complex and less plausible than the current system."
408,"""Two models for getting things done: senate subcommittee vs. Hackathon. Which works better?""- @VanJones68 @GLIDEsf"
409,Nas and Dilla beat the fly soliloquy  http://t.co/i4b206IKQy
410,"1/When companies send me their growth numbers (we're growing 30% week over week), but not their numbers, it makes them seem like a scam."
411,2/Do they really think that I don't know that there's a difference between growing 30% on $100 vs. $100M?
412,3/It feels incredibly disrespectful. I wouldn't want to work with someone who thinks of me like that.
413,"@bentsmithfour that is the other common deception, but at least you can deconstruct it into the growth numbers."
414,@chinboy305 hit up my man @ChrisLyons. If he thinks you have super skills then we'll see what's up.
415,@jake_gold It's because I was in their shoes that I'm trying to make clear how they come across.
416,"@lawcinti It's hard to know what goes on inside someone else's company, but I really admire @stewart"
417,"@matteastwood @pmarca @twitter no, but he's sick, so I felt like I needed to pick up the slack."
418,@qhardy @pmarca I can only imagine . . .
419,@malcolmcoles what does that make my minutely growth rate :-)?
420,@BermudezJuanjo Just an honest presentation of the business.
421,"@manascmenon @SuB8u we invest on the team much more than the numbers at that stage, so the important thing is not the number it's the hiding"
422,Now that's some serious growth http://t.co/squNmz0uj3
423,"@ab_hi_ @gweston They don't disclose their profits, but the profits are equally impressive."
424,I wrote a new post http://t.co/0rCEv6Snzm. Thank you @MrChuckD for the inspiration.
425,I wrote a new post http://t.co/0rCEv6Snzm. Thank you Chuck D for the inspiration.
426,"@dozzybear It often comes to that, but they can be super effective as part of a collaboration -- at least in tech."
427,@zealcaiden @BartDessaint Looking forward to it.
428,@BenedictEvans @_lordmax_ @Mattermark an honor to be confused with Benedict.
429,@davemcclure give your mama a hug :-)
430,I wrote a new post . . . Now on my blog with soundtrack http://t.co/7EY6Xd3yJc
431,New post on @capriza http://t.co/Yi5oMyjp58
432,"@bakeryhq thanks, fixed"
433,This is only the beginning for @Lytro. One of the most promising and underestimated companies in Silicon Valley http://t.co/RKqjIJva6h
434,"@ToddPetersWA you are just wrong in both your assumptions and conclusions, but I cannot explain in 140 characters :-). I apologize for that"
435,"@jhoneyball @BenedictEvans @Lytro the ability to swap out the bakground, radically lighter, better in low light to name 3."
436,So silly that @paulg has to explain this. A life's work means nothing next to a false soundbite http://t.co/7WKtZ48BCc
437,"@JeffKasten @pmarca The problem is that they are not ""slightly,"" but radically."
438,Very nice piece on @tristanwalker in @FastCompany http://t.co/corcgagYOD
439,Thanks @sama for having me in class today! http://t.co/tS4F5MZ1n3
440,@sama Thank you! It was great fun and a real honor to be invited.
441,@rdoddala @sama The Black Jacobins by C.L.R. James
442,@nworbrecneps the shmoney dance had not yet been invented. #historicalfact
443,@Max_Horstmann The best book by far is The Black Jacobins by C.L.R. James
444,@montyvation Thanks! I annotated Chapter 1 with the back story on @genius http://t.co/t1hddcNMhX
445,"@genevievebos Thank you! I also told the backstory of Chapter 1 on @genius
if you are interested http://t.co/t1hddcNMhX"
446,@CanadaKaz @horowitz39 Ha! I am a small feature in Radical Son and he is a small feature in THAHT.
447,http://t.co/vbJueSMMM6
448,@utekkare I recommend The Black Jacobins by C.L.R. James.
449,@MJB_SF @D_Genius very true. People have a whole other set of bad names for them.
450,I just decoded “Nobody had ever done and has ever done since in human history” @Genius http://t.co/msj2vo2gRn
451,@StevanPopo The best book on the subject is The Black Jacobins by C.L.R. James
452,"@joemattern @Genius Yes, a masterpiece."
453,@gustafr @pmarca 60% of McDonald's franchisee owners started as McDonald's hourly employees. McD's sells more salads than any restaurant.
454,I just decoded “Whipping was interrupted in order to pass a piece of hot wood on the buttocks of the vict...” @Genius http://t.co/SewnXT6G7R
455,"@anildash It was critical to establish the context for the decisions that he made. Otherwise, there was no way to describe his leadership."
456,"@MYOFFICES @Genius Yes, I have read all about him in the Black Jacobins."
457,"@anildash I was discussing Toussaint as a leader not as a moral actor. From a military history standpoint, he's an all-time great."
458,@anildash @erictwillis I was teaching leadership rather than slavery. Slavery was the context.
459,"@anildash Not many, but that was a bonus. Since my talk, the Black Jacobins, written 1937, became a #1 Best-seller on Amazon."
460,"@rivveting it is, bit it doesn't have to be. We had 100% compliance on performance reviews and the raise process at opsware."
461,"@rivveting i withheld salary increases, promotions, and stock options for the entire teams if managers who were out of compliance."
462,"@rivveting a little less dangerous with reg employees, but I think that a large spot bonus is better for that use case."
463,@PaulRoales @msuster @YJZar @Jason he is no longer at @genius. I don't back him.
464,@PaulRoales @Genius no worries. He is not a nice person for sure.
465,@mahbodmoghadam @Genius It's not that I don't like you. It's just a tragedy that you care only about yourself. I wish you only the best.
466,"@davisshaver It was called ""one management concept."""
467,@jaredzlotnick The Black Jacobins by C.L.R. James is the definitive one. There is a new one coming out of Harvard shortly I'm told.
468,@davisshaver 50 minutes was a little too short for that :-).
469,@mahbodmoghadam @Genius or you friends who you co-founded the company with.
470,"@flavorjones @danbachiochi you are missing the context. This quote was about the Peter Principal, promotions, etc. It wasn't about disputes"
471,@DLVRCRLN @mahbodmoghadam @Genius the beef is now squashed. We will release a collaboration album shortly.
472,@jsfour The Black Jacobins by C.L.R. James
473,Go @4thlettermusic http://t.co/KaCIOU1Y8p!!!!
474,Here is @LarsLuv 's blogging debut! http://t.co/h5X9lw6mnn
475,"1/ @sriramk First, I should mention @satyanadella did a nice job explaining himself and how that whole thing happened."
476,"@sriramk 2/I think that a process gives you an opportunity to manage the inherent systematic biases, whereas a one-off conversation does not"
477,@1ndus @ashishkhetan1 @amazon you can read the annotated chapter 1 on @Genius http://t.co/MyZtcRLVcf
478,@tewy you will enjoy it! An all time great book!
479,@elichen @cdixon i carry mine in my man sized pocket or in my man sized hands
480,@gloriahyu @GirlsGeneration @BoAkwon will do!
481,Another great story from @mhelft http://t.co/ZdTpzEj7MB
482,http://t.co/HxeMcX5FQP
483,Help girls in the largest slum in Asia program apps &amp; launch startups #TechnovationDharavi https://t.co/jBzISzsvie
484,@cmschroed @gregorydjohnsen you are being to hard on the Raiders.
485,Here is the video of me at the Stanford ETL class (different than the @sama class) -- I am all Stanford all day! http://t.co/IqmfbWmjOI
486,@jeremyalmand I am all about the Yellow Jackets. Berkeley High School baby.
487,@kanchankumar @Zishaan I appreciate that!!
488,"Great interview with @NaithanJones http://t.co/bfRSx1Fpsa He covers grass fed beef, raising money, diversity, and racism."
489,@Brightidea @pmarca @jerememonteau @a16z We were trying to figure a URL that people could spell. I thought of a16z.
490,@DannyAntwi @psygnisfive they are not raising money; they are just kids :-).
491,@noamscheiber @tnr Good luck with whatever's next!
492,"@noamscheiber fwiw, independent of the business issues, it seemed like you were outgrowing the platform. Looking forward to what's next!"
493,@martina_skelly Thanks! I annotated Chapter 1 on @Genius if you want the back story: http://t.co/MyZtcRLVcf
494,@martina_skelly thanks for saying that. I feel like we lose so much potential by accidentally/arbitrarily excluding people.
495,Powerful post by my friend and Kaiser Permanente CEO @BernardJTyson https://t.co/KEpGqfPMHt
496,"@Ingridium @pmarca It's definitive proof that no matter your accomplishments or position, your race impacts how people treat you in the USA"
497,Great interview with my mentor Ken Coleman http://t.co/2rLynoVP75
498,@Ingridium @pmarca I don't think there were any black people running multi billion dollar corporations in 1863.
499,@chuhnk The markets are the opposite right now -- easy to raise privately and hard to raise publicly.
500,I am very excited about the great @DavidSacks joining @parkerconrad the team at @Zenefits !! http://t.co/puvfqFa2tA
501,@BitfuryGeorge @StevenEJohnston Those are both great books.
502,New post from @NickSzabo4 http://t.co/TedvnSwx0m
503,@startupcfo @CloudFlare it's up from where I sit.
504,@ricardovice It wasn't intended to scare anybody. I just tried to tell the truth :-).
505,Really great and educational post by @stevesi http://t.co/mGaqtsMD9X
506,"@brandonr182 thanks. I wrote that almost 20 years ago. I feel like you need to hire me as a product manager, so that I can refresh it."
507,@Wrochette @pmarca it was Biggie and then he was later quoted by Puff.
508,@pmarca perfectly. I believe Notorious had the exact sentiment in mind when he originally said it.
509,@AIMbitious you would have to ask @mdcranney
510,"@JumpComet @fredwilson nor do I. In general, the concept of judging inventors and entrepreneurs for entertainment has no appeal to me."
511,@mkolvr @MoniqueWoodard I did not do a lot of sleeping in those days!
512,"@MauritsMontanez I am glad that you liked it! If you are interested in the backstory, I annotated chap. 1 on @Genius http://t.co/gXoSs5HMdS"
513,I've been listening to this beautiful new song from @kanyewest and @PaulMcCartney all day. Happy New Years! http://t.co/aiApisAF5n
514,"@IaianArchibald I did not, but people have since pointed it out :-)."
515,@IvoZashev @Esiewert @AriannaSimpson @a16z @audible_com Keven Kennerly. He is a Shakespearian actor.
516,@PynkbookAmy That's awesome! I am glad he enjoyed it. I have a soft spot for dads :-).
517,Brave new world! http://t.co/mvFdwIAWJR
518,"@_sunilrawat @mattocko @pmarca @fnxTX @kkwteh @StartupLJackson @cdixon I like @StartupLJackson , but he is not me."
519,Great articulation of why @soylent is important by my partner @cdixon http://t.co/BFSxiSHTpa
520,Amazing first ad from @SteveStoute and Translation for their NBA relationship http://t.co/Ef6eFupzHj
521,@pmarca @cdixon @BenedictEvans nice use of yolo
522,@withfries2 you go boy!!! Stepping up to the good phone!
523,I wrote a new post http://t.co/neq5fzDEZG with an assist from my friend @ryanleslie @TransferWise
524,@jsessenhausen I think that Skype was probably our first although we bought that out of eBay.
525,@fmbutt @ryanleslie @TransferWise Transferwise has a rather robust compliance function as there are indeed many laws to comply with.
526,Worlds collide @ryanleslie and @taavet http://t.co/G9a8l326vj
527,@javivelop @adiezbarroso muchas gracias!
528,Thank you @google and congratulations to the team at @CODE2040!! http://t.co/RILQT7HgUW
529,@lkombs @racheltipograph I appreciate you for that!
530,This is some historical stuff on @Genius http://t.co/H8H3S5pyaQ
531,@gonbd i am glad you liked it!!
532,"I could not be more biased, but this post could not be more honest: https://t.co/gwwkw6z0Jf by @FeliciaHorowitz"
533,@celestocalculus No I did not. The author never spoke to me and made it up. I don't stereotype.
534,@celestocalculus Thank you! I appreciate that!
535,@FABNEWYORK @QtipTheAbstract @Nas @Drake I will see you there!
536,@petesena @garyvee right!
537,"Out with my boys on Allstar weekend: @BernardJTyson, Don Thompson, and the host with the most @SteveStoute http://t.co/qZaYAiRUPG"
538,@JoeFBlaze @GeraldoRivera No. I also don't think that Rock N' Roll is devil music. #oldcrabbypeople
539,@adelacour merci beaucoup!
540,"@mahbodmoghadam if you prefer that title, I will not sue you, but rather I will take it as a compliment."
541,"@safemoneyking @kanyewest @Power1051 Yes, that will be tough for @pmarca to match."
542,"@JustinRaczak when in doubt, explain the obvious"
543,@Baba_BS Kanye is my guy!! Wasn't he great in that interview?
544,@Baba_BS that's what makes him so great. He has no boundaries.
545,"@christianrjo @HaroldHadnott i am a student of Toussaint. If I ever write another book, it will be a breakdown of his leadership techniques"
546,@RadzMpofu https://t.co/jHKWOg4qzq
547,"@JoeConte Once they want to do large, enterprise-wide deals, they will need to deal with the decision making process that goes with it."
548,This http://t.co/xzYMxrYkfP foreshadowed by @FeliciaHorowitz when she wrote this https://t.co/gwwkw6QBAN
549,All Day!!!! http://t.co/00D4tQzjmq
550,"@JPoliskin I think that Joey BadA$$ means the ""route"" of all people"
551,@VasilyAndreev All Day!!!
552,@YinkaDot Ha! No doubt. Lionel Richie is feeling that.
553,@VasilyAndreev Weezy is the truth! How do you like Sorry 4 the Wait 2??
554,@VasilyAndreev I'm loving Sorry 4 the Wait 2. It's like a blues album.
555,@DomainVeggies @agoldfisher @kanyewest @breakfastclubam Here's the whole story + links to the tracks: http://t.co/1QSq9lsj3k
556,@ajs @jeff_jordan We're a team here. We don't do things like typical VCs. Jeff helps many companies where I am on the board.
557,The biggest difference between medieval society and modern society is women's rights. States without them are still medieval.#LeanInTogether
558,I wrote a new post. Sorry 4 the wait :-): http://t.co/bfv5OpCbDz
559,"@nachkari haha! The phot was all recode's. The weezy quote, however, was all me."
560,@SethHoskins @NickNelsonPR don't sleep on sorry 4 the wait 2. It's like a great blues album
561,"@NickNelsonPR @marcusacarey that's probably right, but No Ceilings is very strong"
562,@smasher5 @Recode this is strictly a CEO thing as written
563,I wrote a new post on the future of Systems Management http://t.co/NH91DnsnfX
564,"“If you have not listened to Tunechi’s latest mixtape, Sorry 4 The Wait 2, I highly recommend it. The ...”–@bhorowitz http://t.co/AjN31DPiWB"
565,@jackrometty re-code gets all the credit for that!
566,"@TresPopp @thatguyBG @pmarca It's completely different, but difficult to describe in a tweet :-)."
567,@bluestoutdev @Drake Drizzy has some very good advice indeed.
568,"@TresPopp @thatguyBG @pmarca i think that most would use both. They may collide over time, but are complimentary right now."
569,@baryshnikova still the best management book out there.
570,@m23mclaughlin @JasonHitchcock Spark
571,"@dongreenmon @WFPBWell @ryanxcharles @DeOccupyMolokai 1/in order for the blockhain to work, it must be validated. That requires bitcoin."
572,"@dongreenmon @WFPBWell @ryanxcharles @DeOccupyMolokai 2/yes, you can have foo coin, but the point is that you need coin to make blockchain"
573,@dongreenmon @WFPBWell @ryanxcharles @DeOccupyMolokai 3/And network effects are driving everything to bitcoin
574,Great frickin' post from @stewart https://t.co/ftBGBTfIB2
575,My sad truth post now on my blog with @LilTunechi track http://t.co/d899tJXv8I
576,@VineetDevaiah good point. This is for relatively advanced companies hiring highly experienced execs.
577,"@jacekglodek @NathanKinch @VineetDevaiah I'm not sure if I can do it in a tweet, but inexperienced CEOs benefit from super competent execs."
578,"@HoyMcB OpenView, BMC, and CA all lasted 30 years. Mercury would have lasted 30 had it not been for the stock option fiasco."
579,"@pmarca @posix4e I agree. It worked with Marc and me, because we had a super clear chain of command. Without that, it could get chaotic."
580,"I am super excited about our new investment in HY and Tachyon, which @Peter_Levine explains perfectly http://t.co/ehiUNDYwnP."
581,@bentossell i would be a bio hacker
582,"@anildash I appreciate your intent, but disagree. VCs trying to intimidate entrepreneurs will not lead to a good outcome on diversity."
583,@anildash Bigger point: it can't be what the VC believes; it must be what the company believes that drives it.
584,"@web @anildash I am not saying do nothing. I am saying this all has to be education based not ""I am daddy, so do what I say."""
585,"@anildash guidance is what we're giving, but guidance requires far more depth in knowledge transfer than setting a expectation."
586,@iAyori @web @anildash 1/ I don't think it's a chicken and egg problem. Startups just need to get better at capitalizing on the opportunity.
587,@iAyori @web @anildash 2/And we need to help them do just that. There is tremendous untapped talent out there.
588,"@1jrice @iAyori @web @anildash No doubt, but there are many other components like broadening hiring profiles to look for new strengths."
589,@naynerz @a16z @web @anildash I like your dad.
590,"@tektalk @anildash boards are small, so the culture is relatively easy to change relative to a company. It still requires leadership."
591,Great analysis of @foursquare's data business by @eringriffith http://t.co/1FvLrKoo96
592,. @far33d @nabeel @andrewparker 1/the accounting laws require that the company not forgive the loan in the case the stock tanks.
593,"@far33d @nabeel @andrewparker 2/if valuations changed and a company had to go public at a lower price, it would have to sue its employees"
594,@far33d @nabeel @andrewparker 3/This would not be required by law. The company must do everything in its power to get the money back.
595,@far33d @nabeel @andrewparker not that I've ever been in that situation or anything :-).
596,"@far33d @nabeel @andrewparker yes, oops!"
597,"We honestly thought this was impossible, but it turns out to be only improbable http://t.co/h3T4g4gL2j"
598,@lesternare I appreciate that.
599,@Stan_AM did you learn that from watching the Matrix?
600,@netgenius @lesternare There's a link to my one and only mixtape at the bottom of the post: http://t.co/1QSq9lJUrU
601,"@kevin_sandhu the narrator, Kevin Kennerly, is an African American Shakespearian actor."
602,"@kevin_sandhu yes, no worries. I am glad that you like the audio book. I wanted you to know ""why"" you liked it :-)."
603,The best product in its category that I've seen in my career (and I have seen them all). So excited to be involved http://t.co/Hh3Xx1iLHb
604,"@michelletandler @StartupLJackson I do not, but I am a fan of his work."
605,@mellycatsays That definitely wasn't me.
606,@QuiT_T Drake has a verse on that song. The copyright game in music is pretty weird.
607,I wrote a new post on little things http://t.co/ZZZESDDCdf
608,@JPoliskin Andy Grove is a real O.G. rapper to me.
609,Great article on the power of @Genius http://t.co/VjWRcl3LyO
610,@BrigTisonJr Let me know what you think once you read it!
611,"@ChrisRobionson @LOMBARDI_GLORIA to paraphrase Andy Grove, the level at which you manage is a function of the skill maturity of the employee"
612,@Orlando_Weise @pauljudge let me know what you think!
613,"This quote is from Andy’s management classic, High Output Management. http://t.co/SorDxqCokN http://t.co/3o3EbJWN5K"
614,@skfphoenix2 @vjsubr @pmarca @a16z the point is that it's too late to close.
615,"@MichaelBabich @howardlindzon @StartupLJackson he is not, but I like him."
616,"@EpicureanDeal 1/If we built the firm with the existing VC ideas, why would that be a good idea for anyone? Does the world need one more?"
617,@EpicureanDeal 2/The key proposition of the firm is that we help technical founders run their own companies
618,"@EpicureanDeal 3/Therefore, we need skills associated with building something from nothing (as opposed to just picking deals)"
619,@EpicureanDeal Hence the requirement for GPs to be founders and/or CEOs.
620,"@EpicureanDeal 5/With respect to diversity, the firm is 104 people, 52% of which are women. Of those people, 0 report to GPs."
621,"@EpicureanDeal 6/philosophically, we focus our diversity efforts inside and outside the firm on opptys to change one's career trajectory"
622,"@shiraabel @EpicureanDeal 1/the firm functions are: deal, tech talent, exec talent, market dev, corp dev, marketing, G&amp;A."
623,"@shiraabel @EpicureanDeal 2/I don't know exact breakdown, but one deal team, marketing, tech talent, &amp; ops teams run by women"
624,@octal @BenedictEvans @EpicureanDeal More than one way to skin a cat! They are great at their model.
625,"@shiraabel @EpicureanDeal yes, from our perspective. Different entrepreneurs weigh them differently."
626,@EpicureanDeal Our diversity goal is actually to get the best talent possible rather than to achieve numbers in any particular area.
627,"@KatiMichel @EpicureanDeal Yes, we have very selfish diversity goals. We want the best and our efforts are designed to helps us find that."
628,"@kathleendwarner @shiraabel @EpicureanDeal essentially, yes. The leaders have different experience and that factors in."
629,@luxe it is pretty sweet
630,"@NancyPDoyle @kathleendwarner @EpicureanDeal Thks. The nums shouldn't be the focus the culture must be the focus, but you need some measure."
631,Annotate the Internet http://t.co/EDUIb1RpM7 @Genius
632,This: http://t.co/OeyvqhQDr3 and this http://t.co/LmUD3QXLLy were predicted in 2009 by @cdixon http://t.co/p55HH4llsy
633,@pmarca @RussellLadson @ChrisLyons or @NaithanJones
634,Nice work from @foursquare on new ad product http://t.co/oFemxMHOjm
635,". @JaisonJRaju I am glad that you liked it. If you want the backstory, I annotated chapter 1 on @Genius http://t.co/MyZtcRcJcD"
636,"@kpatelwork I said that it only works in practice, it doesn't work in theory."
637,@zhangke1577 please contact grace@a16z.com
638,@fadyahmedmokhta no
639,@fadyahmedmokhta because it's about doing something larger than yourself and not so that you can spit on everyone else.
640,"@kumarujjwal9 I am glad that you liked it. If you want the backstory, I annotated Chapter 1 on @Genius http://t.co/MyZtcQV7O3"
641,I also agree. By studying successful companies and asking people why they were successful (in… http://t.co/lPxyLpGx0c http://t.co/nhlMndVFpT
642,"This classic Jim Collins. Appear to be objective, but really just fit the data to the narrati… http://t.co/Brwn9LgJYE http://t.co/ZU0xgH2IdG"
643,Great analysis!!! Young Money: Good to Great is a flawed book: http://t.co/HLDgUqrCjS
644,"@pmarca @Brock_Heinz @subbu4 If your guts aren't boiling, you are not even trying."
645,@panabee Yes definitely.
646,"@NotMattGeorge 1/The difference is that if you read Eric's book and apply it, then it will help you whereas Good to Great will hurt you."
647,@NotMattGeorge A big difference is that Eric and I tried what we're recommending. You are Jim Collins' guinea pig.
648,. @PGerman @vkhosla http://t.co/HLDgUqrCjS
649,"@MeirUkeles It's a fine concept, but the difficult thing is sorting out who is ""right"" and who is ""wrong."" People are not binary."
650,Thanks @karaswisher for interviewing me at the @MilkenInstitute http://t.co/eFV0fPpJvp.
651,@nicoleyeary @lisaarussell @ericaswallow @peard33 @a16z Here's what I said  http://t.co/eFV0fPpJvp. Judge for yourself.
652,. @msquinn Hard to counter a disagreement based on an insanely out of context quote. Here's the full thing: http://t.co/eFV0fPpJvp
653,"@msquinn Yes, the reporter. You read what they wrote correctly :-)."
654,"@msquinn among other things, I was referring to a16z only based on our profiles and how we run the firm. I wouldn't apply it to other firms"
655,Guys like @pentagoniac are why I am excited to come to work every day: http://t.co/jaxombvVsb @adataoinc
656,@KittyKaufman The quotes in that article were out of context. Here's what I said: http://t.co/eFV0fPpJvp. Let me know if that's phooey.
657,With my guy @SteveStoute before the fight. Amazing night and tickets thanks to Steve. http://t.co/bgXBaeWpFR
658,@KoriDHandy what were you expecting?
659,"@KoriDHandy Ah, thanks! I hate typical valley BS myself :-)."
660,@cindygallop @a16z You are giving me advice based on an article that quoted me out of context. Here is what I said: https://t.co/STroTRzJVk
661,@cindygallop @a16z @SVbizjournal @SVBizCrom Read a click bait article or hear what I actually said: https://t.co/STroTRzJVk
662,@cindygallop @a16z @SVbizjournal @SVBizCrom @GameOfThrones @SiliconHBO @VeepHBO @SHO_Penny smart prioritizing!!
663,"@randy_riggins Thank you. I have received a fair amount of backlash for saying that out loud, so I appreciate your tweet."
664,@waynesutton @randy_riggins I'm not sure that you understood what Randy was referring to.
665,@ak2webd3 @randy_riggins what does that have to do with what he or I said?
666,@waynesutton @randy_riggins I don't think so. So you saying you are against us hiring and funding people with diverse backgrounds?
667,@Filipov Thank you. I appreciate it!
668,@apere006 You might want to read my references more carefully. I hate Jim Collins' books.
669,@joshuaforman @artypapers I don't think I meet any of the criteria.
670,"@thehejz I am glad you liked it. If you want the back story, I annotated Chapter 1 at @Genius http://t.co/MyZtcRcJcD"
671,"@vMarkFor I am glad you liked it! If you want the backstory, I annotated it on @Genius http://t.co/MyZtcRcJcD"
672,"@shamiksharma 1. You missed the point. You have to design the company, so that you can run it, people will accept that even if controversial"
673,"@shamiksharma 2. As a result, you should run YOUR company without profanity and profane people will accept that too."
674,@tonylenzi @Columbia I think that was their live streaming link.
675,@pmarca @wennmachers that's still unclear.
676,"@synopsi @lpolovets From a management standpoint, High Output Management and The Black Jacobins."
677,@ngpadgett @synopsi @lpolovets I gave a whole lecture on this: http://t.co/tS4F5MHpYt
678,"@raakhichotai @Nas yes, true. I love that guy."
679,@justinspratt I believe that was Aristotle rather than Einstein.
680,"Ironically, every firm that I’ve heard say that about us is a firm that has their own entrepr… http://t.co/b6rDBB9vJI http://t.co/V9wb3mY9o0"
681,This is definitely the short version. Suhail knows more about his competitor’s products than … http://t.co/wTgcm0OjZ7 http://t.co/S0uwBJ03ca
682,"Tad spoke to many VCs for this story, but the Sequoia guys were the only ones brave enough to… http://t.co/aUwunVG76r http://t.co/Yy3pc9EJhe"
683,"Funny, he’s also ashamed to go on the record. It’s interesting how those too things go togeth… http://t.co/i3GMKT7A2d"
684,It is still hard for me to really visualize Marc chopping wood. It’s like asking Einstein to … http://t.co/U9puAa0dNq http://t.co/rnZKRdp3Nu
685,This quote is way way out of context. Gurley spent hours and hours with Tad who relayed every… http://t.co/BhiN9d8fyH http://t.co/0rfYqyMmQ7
686,"@justinspratt @JamoeMills I don't think so: Aristotle said, “Courage is the first of human virtues because it makes all others possible.”"
687,"@JamoeMills Here is the exact quote: ""Courage is the first of human qualities because it is the quality which guarantees the others."" So . ."
688,"@JamoeMills perhaps he distinguishes ""quality"" and ""virtue."""
689,"@JamoeMills @justinspratt Winston Churchill quoted Aristotle on it, but the original source was unknown. Maybe a misquote, but not clear."
690,@jonprice @fmanjoo @pmarca I agree that the lyrics are radically worse than the worst human rappers.
691,"@ffrenchmathilde I actually think that #Holacracy at small scale might, but at large scale will maximize politics. See Zappos."
692,@gmcerveny Let me know what you think.
693,@oliviercp @ffrenchmathilde what is the largest holacracy that you have experienced? (to make sure that we're talking about the same thing)
694,@oliviercp @ffrenchmathilde all the reports out of Zappos are that it's nothing but politics. Is your experience there different?
695,@ffrenchmathilde @oliviercp 1/Politics is a way to get things done when there is no other way.
696,"@ffrenchmathilde @oliviercp 2/In a large holocracy, the way to getting complex, cross-functional things done is challenging. Ergo politics."
697,@ffrenchmathilde @oliviercp The reports indicate that it's difficult to figure out how to get things done . . . which leads to politics
698,@ffrenchmathilde @oliviercp http://t.co/pPaxih5Yf9
699,"@StartupLJackson All my ideas come from rap quotes, so this is never an issue for me."
